Task_Instructions,Block_type,Trial_example,TrialNumber,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,T1,T2,T2_Resp.keys,T2_Resp.corr,T2_Resp.rt,T1_Resp.keys,T1_Resp.corr,T1_Resp.rt,Task_Ender.keys,Task_Ender.rt,date,frameRate,expName,session,participant,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,0,0,0,0,Y,2,slash,0,0.852091918463,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,1,0,1,0,Y,2,slash,0,0.635495410728,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,2,0,2,0,#,2,slash,0,0.434744804586,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,3,0,3,0,#,1,z,0,0.586392779993,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,4,0,4,0,X,2,slash,0,0.300065930513,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,5,0,5,0,X,2,z,0,0.267895453751,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,6,0,6,0,X,1,z,0,0.451750853279,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,7,0,7,0,X,2,slash,0,0.452438484699,None,0,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,8,0,8,0,#,2,slash,0,0.418312261023,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
"In the upcoming task, you will be presented with a series of numbers and letters and will be asked to respond only to the numbers. Please place your left index finger on the letter "Z" and your right index finger on the "/" symbol on the same keyboard row. Press "Z" to then view an example of how the trials in this stage of the experiment will proceed.",Ignore_T1,example1.jpg,80,0,0,0,0,9,0,9,0,#,2,slash,0,0.300461267261,None,1,,,,2018_Oct_02_1431,59.8206777998,T1_T2_800ms,001,006,
